timestamp,mx_uT,my_uT,mz_uT,d0_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,d8_mm,d9_mm,d10_mm,d11_mm,d12_mm,d13_mm,d14_mm,d15_mm,d16_mm,d17_mm,d18_mm,d19_mm,d20_mm,d21_mm,d22_mm,d23_mm,d24_mm,d25_mm,d26_mm,d27_mm,d28_mm,d29_mm,d30_mm,d31_mm,d32_mm,d33_mm,d34_mm,d35_mm,d36_mm,d37_mm,d38_mm,d39_mm,d40_mm,d41_mm,d42_mm,d43_mm,d44_mm,d45_mm,d46_mm,d47_mm,d48_mm,d49_mm,d50_mm,d51_mm,d52_mm,d53_mm,d54_mm,d55_mm,d56_mm,d57_mm,d58_mm,d59_mm,d60_mm,d61_mm,d62_mm,d63_mm
2025-10-13T12:18:28,-0.2767,-0.0155,0.1093,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:29,0.3233,-0.4655,-0.6407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:30,-0.4267,-0.4655,-1.0907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:31,-0.4267,0.1345,-0.7907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:33,-0.7267,0.1345,-0.4907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:34,-0.4267,0.2845,-1.5407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:35,-0.4267,-0.0155,-1.3907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,593,664,692,835,0,847,0,0
2025-10-13T12:18:36,0.3233,0.7345,-0.3407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,664,692,835,0,847,0,0
2025-10-13T12:18:38,-1.0267,-0.3155,-0.9407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,664,692,835,0,847,0,0
2025-10-13T12:18:39,-0.7267,-0.0155,-0.9407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,664,692,835,0,847,0,0
2025-10-13T12:18:40,-0.8767,0.1345,-0.3407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,664,692,835,0,847,0,0
2025-10-13T12:18:41,-0.7267,1.0345,-1.6907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:43,-0.4267,0.8845,-0.4907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:44,-0.5767,-0.3155,0.8593,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:45,-1.1767,-0.7655,-0.9407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:46,-0.1267,-0.0155,-0.3407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:48,-0.2767,-0.7655,0.4093,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:49,-0.5767,-0.1655,-0.9407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:50,-1.1767,0.4345,-1.0907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:51,-0.4267,0.2845,-1.0907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:52,-1.0267,0.2845,-0.3407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:54,0.1733,1.4845,-0.1907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:55,-0.4267,0.4345,-0.7907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:56,-0.4267,0.4345,-0.9407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:57,-0.7267,-0.4655,-1.5407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:18:59,-0.8767,-0.4655,-0.6407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:19:00,-0.4267,0.2845,-1.0907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:19:01,0.4733,0.2845,-0.6407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:19:02,0.0233,-0.4655,-0.4907,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
2025-10-13T12:19:03,-0.2767,0.2845,-0.3407,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,611,557,692,835,0,847,0,0
