timestamp,mx_uT,my_uT,mz_uT,d0_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,d8_mm,d9_mm,d10_mm,d11_mm,d12_mm,d13_mm,d14_mm,d15_mm,d16_mm,d17_mm,d18_mm,d19_mm,d20_mm,d21_mm,d22_mm,d23_mm,d24_mm,d25_mm,d26_mm,d27_mm,d28_mm,d29_mm,d30_mm,d31_mm,d32_mm,d33_mm,d34_mm,d35_mm,d36_mm,d37_mm,d38_mm,d39_mm,d40_mm,d41_mm,d42_mm,d43_mm,d44_mm,d45_mm,d46_mm,d47_mm,d48_mm,d49_mm,d50_mm,d51_mm,d52_mm,d53_mm,d54_mm,d55_mm,d56_mm,d57_mm,d58_mm,d59_mm,d60_mm,d61_mm,d62_mm,d63_mm
2025-10-13T12:21:50,0.7015,0.5338,-0.5835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:51,-1.0985,-1.2662,0.7665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:52,-0.6485,-0.2162,-0.1335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:54,-1.3985,-0.2162,0.0165,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:55,-0.3485,0.2338,-0.4335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:56,-1.2485,-0.3662,0.3165,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:57,-0.1985,0.0838,0.7665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:21:58,-1.2485,0.8338,-0.2835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:22:00,-0.9485,-0.0662,0.1665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:22:01,-0.6485,-0.3662,0.0165,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:22:02,-1.5485,0.5338,0.3165,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:22:03,-0.6485,-0.5162,0.1665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,618,1309,835,0,847,0,0
2025-10-13T12:22:05,-1.9985,-0.3662,-0.1335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:06,-0.1985,-0.8162,-1.7835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:07,0.1015,-0.3662,-0.2835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:08,-0.7985,-0.0662,-1.0335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:10,-0.6485,-0.2162,-0.4335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:11,-1.3985,-0.3662,-0.1335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:12,-0.9485,-0.3662,-0.2835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:13,-0.9485,-0.0662,0.1665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:14,-0.9485,0.2338,-1.6335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:16,-0.3485,-0.8162,-0.1335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:17,-0.7985,-0.2162,-0.5835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:18,-0.4985,0.2338,-0.5835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,678,616,1309,835,0,847,0,0
2025-10-13T12:22:19,-0.0485,0.3838,-0.7335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,629,616,1309,835,0,847,0,0
2025-10-13T12:22:21,-0.9485,-0.0662,0.4665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,521,616,1309,835,0,847,0,0
2025-10-13T12:22:22,-0.1985,0.6838,0.4665,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,521,616,1309,835,0,847,0,0
2025-10-13T12:22:23,-0.0485,-0.9662,-0.4335,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,609,616,1309,835,0,847,0,0
2025-10-13T12:22:24,-0.7985,0.0838,0.0165,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,609,616,1309,835,0,847,0,0
2025-10-13T12:22:26,-1.2485,0.5338,-0.2835,0,1034,1021,938,1020,1040,0,1433,940,872,854,910,873,865,918,953,874,835,831,1143,835,837,859,886,1157,1157,1117,1118,1097,1149,1161,1215,1164,1149,1141,1116,1108,1090,1149,1146,852,824,1124,1125,1128,1091,842,867,0,0,2769,586,0,0,1881,1045,609,616,1309,835,0,847,0,0
